name,flower_lang,info,type
아프리칸 바이올렛,작은사랑,"흔히 바이올렛이라고 줄여 부르는데, 아프리칸바이올렛이 정식명칭이다. 환경만 맞으면 일년 내내 꽃이 피기 때문에 꽃이 없는 한 겨울에도 사랑받는 식물이다. 실내 원예식물 중 가장 많은 사랑을 받고 있다 해도 과언이 아니다. 꽃 색상이 매우 다양하고 꽃모양도 갖가지다.","제스나리아과에 속하는 영년생 상록성 초본류이다. 세계적으로 약 20종이 있는데, 주로 아프리카 동부의 바위틈이나 강가 등에 자생한다."
우단일엽 ,작은 평화,잎에 갈색의 폭신한 털이 나 있어서 바위에 펼쳐진 모습을 보면 마치 비로드를 깔아놓은 듯하다. 우단일엽이란 우단같은 일엽초라는 뜻이다. 이런 저런 야생화들을 찾아 골짜기를 헤매다 보면 어느 정도 습기가 유지되는 바위나 고목의 겉에 일엽초들이 붙어있는 모습을 아직은 흔히 볼 수 있다.,고사리과의 상록성 양치식물이다. 세계적으로 약 100종이 분포하는데 아메리카 대륙과 아시아 동부의 온대지역에 주로 자생한다. 우리나라에는 한 종이 자생하는데 전국의 바위나 나무에 붙어 자생한다.
파초,기다림,뿌리줄기 끝에서 나오는 잎이 사방으로 점점 퍼지면서 길게 자란다. 잎은 밝은 녹색을 띠며 그물무늬가 평행을 이룬다. 언뜻 보면 바나나 잎을 닮아 여름동안 청량감을 더해주며 밝은 연초록의 잎은 이국적인 느낌을 주는 관엽식물이다.,"파초과에 속하는 여러해살이 풀이다. 지구상에 약 40종이 분포하는 상록성으로 인도 북동부, 방글라데시, 아시아 남동부, 일본, 호주 북부지역에 이르기까지 다양하게 분포한다."
호랑가시나무,보호," 크리스마스카드를 보면 빨간 열매를 달고 잎 끝이 가시 같은 잎으로 장식된 그림이 빠지지 않고 나온다. 바로 서양호랑가시나무인데, 오늘의 꽃은 우리나라에 자생하는 호랑가시나무이다. 잎 끝이 뾰족한 것이 호랑이의 발톱을 닮아서 붙여진 것으로 보이며, 꽃말도 가시가 침입자로부터 자신을 지킨다는 뜻에서 붙여진 듯 하다.","감탕나무과의 상록성 관목이다. 세계적으로 약 400종이 있으며 상록성은 물론 낙엽성인 것들도 많다. 우리나라에 나는 것으로 유사종은 주로 제주에 자생하는 먼나무, 꽝꽝나무, 좀꽝꽝나무 등이 있다."
사스레피나무 ,당신은 소중합니다.,오래 전 졸업식이나 입학식의 꽃다발 장식에 빠지지 않고 쓰였던 나무이다. 지금은 축하나 조문용 화환을 만들 때 뒷 바탕을 장식하는 상록소재로 거의 빠짐없이 들어간다.,"차나무과에 속하는 상록성 관목이다. 세계적으로 아시아 동남부 및 태평양 열도를 중심으로 약 70종이 자생한다. 우리나라에서는 주로 제주지역이나 남부해안가의 낮은 산에서 자생한다. 유사종으로 우묵사스레피나무, 거제도에 나는 섬사스레피나무, 잎이 넓고 두꺼운 떡사스레피나무 등이 있다."
굴거리나무,자리를 내어줌,제주에 가면 아래로 젖혀진 넓고 긴 잎과 빙둘러난 잎자루가 유난히 붉은 빛을 띠어 꽃으로 착각하기도 하는 나무가 있는데 바로 굴거리나무이다. 길고 두꺼운 잎이 마치 고무나무와도 비슷하여 혹시 외래종인가 하는 착각도 든다.,대극과에 속하는 상록성 관목으로 아시아 동부지역을 중심으로 15종이 분포한다. 우리나라는 내장산과 남부해안 및 제주지역에 자생한다.
산호수 ,"용감, 총명","바다의 보석이라 일컫는 ‘산호’가 있는데, 산호 중에도 으뜸으로 치는 것이 적색산호라 한다. 산호수의 빨간 열매가 이 바다의 산호를 꼭 닮아서 붙여진 이름인 듯 하다.","자금우과에 속하는 상록소관목이다. 지구상에 250종이 자생하는데 아시아, 호주, 아메리카 전역의 습기가 있는 산림에서 분포한다. 우리나라에는 자금우, 왕자금우, 산호수, 백량금 등 4종이 남부해안과 도서 및 제주지역의 낮은 산 그늘에서 자란다."
꽝꽝나무,굳은 의지,제주의 어느 식물원에 갔을 때 수형이 잘 다듬어진 울타리가 있어 회양목인줄 알았는데 자세히 보니 꽝꽝나무였다. 산굼부리 오르는 길 양쪽의 탄탄한 생울타리도 바로 이 꽝꽝나무로 만들어진 것이다. 나무줄기가 단단하여 붙여진 이름과 꽃말인 듯싶다.,"감탕나무과에 속하는 상록활엽관목이다. 세계적으로 약 400종이 있으며 상록성은 물론 낙엽성인 것들도 많다. 우리나라에 나는 것으로 유사종은 주로 제주에 자생하는 먼나무, 호랑가시나무, 좀꽝꽝나무 등이 있다."
구상나무,기개,"구상나무는 세계적으로 우리나라에만 나는 한국특산식물이다. 잎도 잘 떨어지지 않고 수형이 좋아 외국에서는 크리스마스트리로 가장 귀하게 여기는 나무이기도 하다. 한라산 윗세오름이나 덕유산 정상에 가보면 고사목들이 서 있는데 기품이 당당하다. 주목은 살아서 천년 죽어서 천년이라 했는데, 구상나무는 살아서 백년 죽어서 백년이라 한다.","소나무과에 속하는 상록성 침엽수이다. 열매의 색깔에 따라 붉은구상나무, 검은구상나무, 푸른구상나무가 있으며 구상나무와 비슷한 것으로 분비나무와 젓나무가 있다. 한라산, 덕유산, 지리산 등지의 해발 1000m 이상에서 자생한다."
프리뮬러,소년시절의 희망,프리뮬러는 원래 추운 곳에서 자라는 식물이라 긴 겨울을 나야 이듬해 봄에 꽃이 탐스럽게 핀다. 많은 원예품종들이 나와 있으며 화원에서 1-2월부터 볼 수 있어 우리에게 봄이 왔음을 가장 먼저 알려주는 꽃이다.,앵초과에 속하는 다년생 초본류로 종류가 500 여종이나 되는 대가족식물이다. 아시아 북부의 한대지방이나 유럽의 북반구 쪽에서 자생한다.
괭이눈 ,순간의 아름다움,"씨앗 모양이 고양이의 눈을 닮았다 하여 괭이눈이라 불린다. 꽃이 필 때 꽃 주변의 잎들이 노랗게 변해서 햇볕을 받으면 황금과도 같은 빛을 발하지만 번식이 끝나고 나면 잎은 원래의 색을 찾는다. 산수국, 백당나무나 포인세티아처럼 꽃가루를 받아 수정되어 후손을 남기려는 생존전략으로 보인다. 그러고 보면 다들 살아갈 궁리는 확실히 하고 태어난다.","범의귀과에 속하는 다년생 초본류이다. 우리나라에는 산괭이눈, 애기괭이눈, 선괭이눈, 털괭이눈, 가지괭이눈 등 10종이 자생한다. 사진은 선괭이눈이다."
칼세올라리아,나의 재산을 드립니다.,주머니처럼 생긴 꽃들이 넓은 잎 뒤로 붙어 있어서 속칭 주머니꽃이라고도 불린다. 꽃대가 큰 것부터 아주 작아서 바닥에 기는 것까지 다양하며 꽃 모양도 둥근 원형이 있는가 하면 난처럼 혀를 내밀고 있는 것들도 있다. 키가 아주 작은 편이며 작은 꽃들이 다닥다닥 붙어 공처럼 송이를 형성하고 있다.,"현삼과의 한해살이, 두해살이, 여러해살이풀 및 관목류까지 있는 식물로 지구상에 약 300종 이상이 있는 대가족 식물이다. 원산지는 남아프리카의 페루나 칠레의 안데스산맥에서 뉴질랜드 등지이다."
네펜데스,끈기,"애완식물로 불려지는 벌레잡이식물들이 온, 오프라인 모두 동호회들이 많이 생기면서 인기를 끌고 있다. 잎 끝에 주머니처럼 생긴 포충낭이 달려 있어 벌레가 들어오면 분해 흡수하여 영양분을 섭취한다. 벌레잡는 주머니는 꽃말처럼 벌레가 주머니 안으로 들어올 때까지 한없이 끈기를 갖고 기다릴 줄 안다. 벌레가 들어오면 조용히 뚜껑을 닫는다.","벌레잡이통풀과에 속하는 여러해살이 풀이다. 세계적으로 약 70종이 있는데 인도네시아, 뉴기니아, 마다가스카르등 주로 열대지방에서 절벽이나 나무를 타고 오르며 자생한다. 원예종으로는 무수히 많은 품종들이 나오고 있다."
남천,지속적인 사랑,잎 모양이 대나무 잎을 닮아 중국에서는 남천죽이라고도 부른다. 늦은 가을부터 붉게 물든 잎과 붉은 열매가 좋다. 정원에 심겨 있으면 겨울에도 볼거리를 줄 수 있는 식물이다.,"매자나무과에 속하는 상록성 관목이다. 세계적으로 단 1속 1종이 있으며,  잎에 무늬가 있는 반엽종도 있다. 중국, 인도, 일본의 산이나 계곡에 자생한다."
냉이,나의 모든 것을 바칩니다.,지금도 이른 봄이면 찬바람 나는 들판에서 나물 캐는 아낙네들을 볼 수 있다. 냉이는 꽃이 피기 전에 먹어야하니 2월이 제철이기 때문이다. 싱싱한 냉이 잎과 뿌리를 생각하면 벌써부터 그 향내가 코끝을 맴도는 것 같다. 꽃말처럼 냉이는 잎부터 뿌리까지 버릴 게 없다.,십자화과에 속하는 일년초이다. 전국에서 흔히 야생하며 밭에서는 쓸모없는 풀로 취급받기도 한다. 영명은 열매모양이 쌈지같이 생겼다 하여 붙여진 이름이다.
동백나무,"겸손한 아름다움, 자랑",동백나무는 모든 부분이 버릴 것 없는 보배로운 식물이다. 일년 내내 표면이 반지르르한 잎이나 이른 봄에 빨갛게 피었다 일순간 떨어지는 꽃도 인상적이고 가을에 열리는 열매는 옛날 우리 어머님들이 머리손질과 화장품에 이용하기도 했던 동백기름의 원료이다.,"차나무에 속하는 상록성 소교목이다. 대표적인 난지형 식물로 지구상에 약 300여 종이 분포하고 있다. 우리나라에서는 내륙으로는 전북 고창 선운사, 해안으로는 황해도 장삿곶까지 자생한다."
코르딜리네,당신 곁에 있겠습니다.,드라세나와 혼동하는 경우가 있으나 크게 다른 식물이다. 관엽식물로 잎과 잎 가장자리의 색이 다른 다양한 원예품종들이 나와 있다. 잎이 옛날 병사들이 쓰던 창처럼 생겼다.,용설란과에 속하는 상록성 관목이다. 지구상에 15종이 자생하는데 인도 및 뉴질랜드에 집중적으로 자생하며 아메리카에도 1종이 있다. 교목과 관목 두 종류가 다양하게 분포되어 있어서 열대 관엽의 왕이라 불리기도 한다.
디펜바키아,경계,"잎의 무늬가 다양하고 넓고 시원스러워 좁은 실내에서도 관상하기 좋은 식물이다. 식물체내에 독성이 있어서 붙여진 꽃말 같다. 실제로 잎을 잘라 튜립과 같이 꽂아두면 튜립의 절화수명이 훨씬 길어지는데, 이것은 디펜바키아에 있는 성분이 튜립 절단면에서 생성되어 도관의 흡수를 막는 박테리아의 증식을 방해하기 때문이다. 영명이 참 재미있다. 장모님 말씀에 독설이 있다는 얘긴지, 아님 긴 타원형의 잎이 장모님 혀를 닮았다는건지…",천남성과에 속하는 여러해살이풀로 상록성이다. 세계적으로 약 30종이 중앙 및 남부아메리카의 열대 숲에 자생한다.
레몬,"성실한 사랑, 정절","감귤류 중에는 Citrus Limon이라고 하는 종류가 있는데, 이 식물의 열매가 레몬이다. 레몬은 과즙이나 과육에 향기가 있고 맛이 좋아 여러 용도로 쓰이고 있다. 요즘 신세대가 좋아하는 레몬소주, 향기가 좋은 레몬차, 상큼한 레몬음료, 껍질째 이용하는 마멀레이드 등... ",운향과에 속하는 상록소교목이다. 지구상에 16종이 있는데 원산지는 인도지만 캘리포니아나 지중해 지역이 많이 자생한다.
무스카리,"실망, 실의","4∼5월, 잎 사이에서 나온 꽃대에 공 모양의 하늘색 또는 보라색의 작은 꽃들이 다닥다닥 붙어 핀다. 피어있는 모양이 마치 작은 포도송이 처럼 생겨 귀엽다.","백합과의 알뿌리식물이다. 지구상에 30종이 있다. 지중해와 서아시아 지역의 중산간지나 숲 속에서 흔히 자란다. 원예종으로 보라색과 흰색종이 대표적이다.
"
산자고,가녀린 미소,봄이면 원색적으로 화단을 장식하는 튜립 야생원종 중의 하나이다. 튜립 야생종으로는 우리나라에 산자고 한 종만 있어 귀하게 대접받아야 할 토종 자생식물이다. 숲이나 언덕의 시원하고 물이 잘 빠지는 곳에서 흔히 자생한다. 이른 봄에 큰괭이밥 등과 비슷한 시기에 꽃이 피며 꽃대가 가늘어 오후가 되면 꽃 무게를 잘 이기지 못하고 조금씩 구부러져 보는 사람을 애처롭게 한다.,"백합과에 속하는 여러해살이 풀이다. 우리나라는 물론이고 일본이나 중국에도 자생한다. 튜립은 워낙 유명한 알뿌리식물로써 무수히 많은 원예품종들이 개량되어 있으며 야생원종만 해도 100종이 아시아, 중동, 유럽의 온대성 지역에 다양하게 분포한다."
스노우드롭,"희망, 위안",꽃 피는 모양을 보면 추운 겨울 지쳐갈 즈음에 봄이 오고 있으니 희망을 가지라는 듯한 모양이다. 비록 고개를 떨어뜨리고 있지만 작고 청초한 흰 꽃이 피어난다. 봄에 가장 먼저 피는 알뿌리 중 하나이다.,"수선화과의 알뿌리식물이다. 지구상에 약 19종이 살고 있는데, 유럽 대륙에서부터 아시아 서부지역에 이르러 자생하고 있다. 대부분 산림지대의 숲 속에 서식하지만 종종 암석주변에서도 발견된다. 꽃은 늦은 겨울부터 봄 동안 핀다."
스위트피,"기쁨, 가련","꽃색이 흰색, 분홍, 빨강, 보라 등 다양하고 하늘하늘한 꽃잎은 나비를 닮았다. 17세기부터 관상용으로 재배가 시작되어 지금은 많은 품종이 개량되어 있다. 원래 장일성식물이었는데, 단일에도 꽃이 피는 종이 개발되어 지금은 겨울철에도 온실안에서 꽃을 피울 수 있게 되었다. 여름종과 겨울종의 교잡에서 춘계종이 만들어졌고, 하나의 꽃대에 7∼8송이의 꽃이 피는 다화성이거나, 덩굴이 뻗지 않는 왜성종 등이 개발되어 있다.",콩과에 속하는 한해살이풀로 덩굴성이다. 이탈리아의 시실리섬이 고향으로 햇볕이 잘 드는 양지에 군락을 이루고 있다.
복수초,"영원한 행복(동양), 슬픈 추억(서양)",꽃 이름을 보면 무림의 복수혈전을 연상하게 하지만 한자로 福(복 복)壽(수명 수)草로써 장수를 기원하는 식물이다. 복수초는 일년 중 가장 먼저 꽃을 피우는 식물이다. 추위에 강해 겨울의 한복판인 2월에 설악산에서 눈과 얼음을 뚫고 나올 정도이다. 여름 고온에는 무척 약해 지상부는 거의 말라죽는다. 꽃이 향광성이라 햇볕이 날 때 활짝 피며 노란 꽃잎 표면에 빛이 반사되면 약간의 열이 발생되면서 꽃 윗부분의 눈을 녹인다. 눈 속에 핀 복수초 모습은 사진으로 종종 볼 수 있다.,"미나리아재비과에 속하며 전국의 산야에서 아직도 흔히 자생한다. 아도니스속에는 세계적으로 약 20종이 분포하는데 한해살이와 여러해살이가 있으며 주로 아시아와 유럽의 고산지대에 햇볕이 어느 정도 드는 곳에 군락을 이루고 있다. 아시아원산인 종들은 약간 그늘진 곳에서 잘 자라며, 유럽종들은 완전 양지나 암석 틈 같은 곳에서 잘 자란다."
산거울,강인함,소나무처럼 잎이 치밀한 침엽수 아래서는 다른 식물이 잘 자랄 수 없다. 잎이 워낙 조밀 조밀한 데다 여기서 나오는 발아억제물질 같은 화학성분들이 다른 식물들을 자라지 못하게 만들기 때문이다. 이런 곳에서 산거울은 자생하고 있으니 강인함이 대단한 식물이다.,사초과에 속하는 여러해살이풀이다. 그늘진 바위틈이나 건조한 숲속에 자생한다.
솜나물,발랄,이른 봄 언 땅을 헤집고 내미는 새싹을 나물로 이용할 수 있으며 잎 뒤에 하얀 솜털이 촘촘하게 나 있다. 그래서 이름도 솜나물이라고 한 것 같다. 아주 오래전에는 부싯깃을 내는 솜으로 썼다하여 부싯깃나물이라는 향명도 가지고 있다. 꽃이 다 피었을때 보면 발랄한 소녀처럼 아름답다.,"국화과의 여러해살이풀로써 생태형이 봄에 피는 것과 가을에 피는 것이 있는데 키, 잎이나 꽃 모양이 서로 다르다. 전국의 다소 건조한 듯한 숲 속이나 바닷가나 섬의 반 그늘진 곳에 자생한다."
아잘레아,사랑의 기쁨,"아잘레아는 사계성 품종들이 많이 나와 있으며 특히 겨울철 실내 분화용으로 많이 이용하고 있다. 꽃색은 빨간 것들이 주종을 이루며, 최근에는 끝에 흰줄이 들어가 있는 복색도 나오고 보다 연한 핑크계통인 품종들도 많다.",철쭉과에 속하는 식물은 지구상에서 극지방을 제외하고 널리 분포하여 전 세계적으로 약 100속 3000여종이 자생하고 있다. 여기서 철쭉속에 속하는 식물만 하더라도 대가족으로써 딸린 식구들이 약 800∼1000종이나 되는데 중국대륙에 자생하는 것들이 많으며 유럽에서 오래 전에 이들을 도입하어 분화용 원예품종으로 개발하여 전 세계적으로 공급하고 있다.
안스리움,번뇌,잎도 예쁘지만 빨갛고 하트형인 불염포 위에 꼬리를 내민 듯 길게 나온 화서가 매력적인 식물이다. 잎이 빤질빤질한 가죽질이라 광택이 난다. 공기정화식물로 특히 암모니아 흡수를 잘해 화장실 배치용으로 추천되고 있다.,천남성과에 속하는 초본성 식물이다. 열대 아메리카가 고향으로 약 600종이 분포되어 있다.
골담초,"청초, 겸손",황금색 꽃이 빛을 받으면 노랗게 무리지어 있는 모습이 돋보이며 꽃 향기는 천연향의 원료가 되기도 하는 식물이다. 꽃에 빨간 무늬가 있는 것도 있다.,"콩과에 속하는 반상록성 관목이다. 유럽남부가 원산이며 세계적으로 약 50종이 분포한다. 서양종은 양골담초, 우리 자생종은 골담초다."
에크메아,만족,"잎을 관상하는 관엽식물로써, 잎이 가죽질이면서 밀랍이 덮인 듯한 로제트 형태로 아름답다. 다양한 원예품종들이 나와 있으며, 특히 잎에 가로줄의 흰무늬가 있는 것이 인기다.","파인애플과에 속하는 아나나스류의 일종이며 상록다년생 식물이다. 고향은 멕시코 남부, 아메리카 중부 및 남부 등의 산림 숲속이다. 지구상에 약 200종 가까이 분포한다."
